side,signal,entry_time,entry_index,entry_price,exit_time,exit_index,exit_price,exit_reason,pnl,position_notional,balance_after
short,regular_bear,2025-08-06 12:37:00,2777,114200.82,2025-08-06 12:49:00,2789,114000.01,tp_rsi,0.17299371055748552,98.38167223,98.55466594
short,hidden_bear,2025-08-06 13:00:00,2800,113936.27,2025-08-06 13:06:00,2806,113853.0,tp_rsi,0.07202839826882346,98.55466594,98.62669434
short,hidden_bear,2025-08-06 13:11:00,2811,113848.3,2025-08-06 13:12:00,2812,113839.18,tp_rsi,0.007900648954633278,98.62669434,98.63459499
long,regular_bull,2025-08-06 14:29:00,2889,114094.39,2025-08-06 14:46:00,2906,114324.67,bear_div,0.19907704957533043,98.63459499,98.83367204
long,hidden_bull,2025-08-06 14:48:00,2908,114250.09,2025-08-06 14:55:00,2915,114692.18,tp_rsi,0.3824362682967099,98.83367204,99.21610831
short,regular_bear,2025-08-06 15:13:00,2933,114928.25,2025-08-06 15:23:00,2943,114978.95,bull_div,-0.043768670377533035,99.21610831,99.17233964
long,regular_bull,2025-08-06 16:28:00,3008,115127.66,2025-08-06 16:36:00,3016,115143.99,bear_div,0.014066856794634522,99.17233964,99.1864065
short,hidden_bear,2025-08-06 16:50:00,3030,115059.99,2025-08-06 17:04:00,3044,115131.02,bull_div,-0.06123075843909672,99.1864065,99.12517574
short,regular_bear,2025-08-06 17:22:00,3062,115203.54,2025-08-06 17:37:00,3077,115352.67,bull_div,-0.12831669459208167,99.12517574,98.99685905
long,hidden_bull,2025-08-06 18:07:00,3107,115649.99,2025-08-06 18:33:00,3133,115513.72,bear_div,-0.116647670983317,98.99685905,98.88021138
short,hidden_bear,2025-08-06 18:49:00,3149,115334.36,2025-08-06 19:07:00,3167,115442.36,bull_div,-0.09259220607839676,98.88021138,98.78761917
long,regular_bull,2025-08-06 19:12:00,3172,115420.42,2025-08-06 19:17:00,3177,115428.97,bear_div,0.007317891789891144,98.78761917,98.79493706
short,hidden_bear,2025-08-06 19:56:00,3216,115206.55,2025-08-06 20:07:00,3227,115259.99,bull_div,-0.04582726795036072,98.79493706,98.74910979
long,regular_bull,2025-08-06 20:36:00,3256,115050.08,2025-08-06 20:55:00,3275,115084.73,bear_div,0.029740584745555375,98.74910979,98.77885037
short,hidden_bear,2025-08-06 21:03:00,3283,115098.7,2025-08-06 21:31:00,3311,115042.36,tp_rsi,0.04835154897358055,98.77885037,98.82720192
short,regular_bear,2025-08-06 22:12:00,3352,115140.6,2025-08-06 22:43:00,3383,115039.15,tp_rsi,0.08707631916791427,98.82720192,98.91427824
short,hidden_bear,2025-08-06 22:45:00,3385,115079.34,2025-08-06 23:02:00,3402,115069.51,tp_rsi,0.008449191271859682,98.91427824,98.92272743
short,hidden_bear,2025-08-06 23:29:00,3429,115002.47,2025-08-06 23:34:00,3434,115003.1,bull_div,-0.0005419128674485047,98.92272743,98.92218552
long,regular_bull,2025-08-06 23:51:00,3451,115004.99,2025-08-07 00:30:00,3490,114975.66,tp_rsi,-0.025228363580587002,98.92218552,98.89695716
short,hidden_bear,2025-08-07 00:50:00,3510,114907.85,2025-08-07 01:47:00,3567,114971.18,tp_rsi,-0.05450580005579717,98.89695716,98.84245136
short,regular_bear,2025-08-07 02:13:00,3593,114796.0,2025-08-07 02:28:00,3608,114782.27,bull_div,0.011821900215794951,98.84245136,98.85427326
long,regular_bull,2025-08-07 02:51:00,3631,114556.27,2025-08-07 02:55:00,3635,114549.3,bear_div,-0.006014636166333934,98.85427326,98.84825862
short,hidden_bear,2025-08-07 03:02:00,3642,114553.45,2025-08-07 03:05:00,3645,114514.06,bull_div,0.03398966078316927,98.84825862,98.88224828
long,regular_bull,2025-08-07 03:11:00,3651,114514.74,2025-08-07 03:14:00,3654,114452.01,bear_div,-0.054166681377484115,98.88224828,98.8280816
long,hidden_bull,2025-08-07 03:53:00,3693,114565.19,2025-08-07 04:05:00,3705,114617.86,tp_rsi,0.045435049318836095,98.8280816,98.87351665
long,hidden_bull,2025-08-07 04:16:00,3716,114557.39,2025-08-07 04:40:00,3740,114434.68,bear_div,-0.10590996554759265,98.87351665,98.76760668
short,hidden_bear,2025-08-07 04:48:00,3748,114425.93,2025-08-07 04:49:00,3749,114390.25,tp_rsi,0.030797461784594717,98.76760668,98.79840414
short,hidden_bear,2025-08-07 05:09:00,3769,114308.7,2025-08-07 05:10:00,3770,114340.0,bull_div,-0.02705297190487065,98.79840414,98.77135117
short,regular_bear,2025-08-07 05:35:00,3795,114492.22,2025-08-07 05:49:00,3809,114543.21,bull_div,-0.04398858888541787,98.77135117,98.72736258
short,regular_bear,2025-08-07 06:00:00,3820,114532.05,2025-08-07 06:30:00,3850,114548.58,tp_rsi,-0.014248966149189551,98.72736258,98.71311361
long,hidden_bull,2025-08-07 07:08:00,3888,114750.0,2025-08-07 07:11:00,3891,114748.32,bear_div,-0.001445211597944318,98.71311361,98.7116684
short,regular_bear,2025-08-07 07:26:00,3906,114819.99,2025-08-07 08:39:00,3979,115023.59,bull_div,-0.17503655666786885,98.7116684,98.53663184
short,hidden_bear,2025-08-07 08:50:00,3990,115006.63,2025-08-07 08:58:00,3998,114948.74,tp_rsi,0.049599624101823885,98.53663184,98.58623146
short,regular_bear,2025-08-07 09:34:00,4034,114938.82,2025-08-07 09:46:00,4046,114984.0,bull_div,-0.03875214603179422,98.58623146,98.54747931
short,regular_bear,2025-08-07 09:49:00,4049,114980.0,2025-08-07 09:57:00,4057,115074.14,bull_div,-0.0806858558205196,98.54747931,98.46679345
long,hidden_bull,2025-08-07 10:07:00,4067,115434.97,2025-08-07 10:13:00,4073,115496.86,tp_rsi,0.05279257963700638,98.46679345,98.51958603
long,hidden_bull,2025-08-07 10:21:00,4081,115623.39,2025-08-07 10:26:00,4086,115705.45,tp_rsi,0.06992112261733176,98.51958603,98.58950715
short,regular_bear,2025-08-07 10:37:00,4097,116067.99,2025-08-07 10:38:00,4098,116112.0,bull_div,-0.037382608328713055,98.58950715,98.55212454
long,hidden_bull,2025-08-07 10:47:00,4107,116325.99,2025-08-07 10:53:00,4113,116383.36,tp_rsi,0.048604231821790994,98.55212454,98.60072877
short,regular_bear,2025-08-07 11:11:00,4131,116466.93,2025-08-07 11:12:00,4132,116447.11,bull_div,0.016779582360595013,98.60072877,98.61750835
short,regular_bear,2025-08-07 11:16:00,4136,116446.0,2025-08-07 11:17:00,4137,116476.01,bull_div,-0.02541531203805183,98.61750835,98.59209304
long,regular_bull,2025-08-07 12:16:00,4196,116315.58,2025-08-07 12:27:00,4207,116442.86,tp_rsi,0.10788581892581443,98.59209304,98.69997886
short,regular_bear,2025-08-07 12:43:00,4223,116363.77,2025-08-07 12:44:00,4224,116249.96,tp_rsi,0.09653386611706007,98.69997886,98.79651273
short,hidden_bear,2025-08-07 12:53:00,4233,116300.01,2025-08-07 13:12:00,4252,116243.51,bull_div,0.047996582023036805,98.79651273,98.84450931
long,hidden_bull,2025-08-07 13:42:00,4282,116544.79,2025-08-07 13:57:00,4297,116563.71,bear_div,0.016046518391310896,98.84450931,98.86055583
short,hidden_bear,2025-08-07 14:17:00,4317,116431.64,2025-08-07 15:01:00,4361,116424.74,bull_div,0.005858698161654552,98.86055583,98.86641453
long,regular_bull,2025-08-07 15:51:00,4411,116720.4,2025-08-07 15:54:00,4414,116730.6,bear_div,0.008639770153350665,98.86641453,98.8750543
long,hidden_bull,2025-08-07 16:00:00,4420,116708.0,2025-08-07 16:48:00,4468,115924.16,bear_div,-0.664069494486339,98.8750543,98.21098481
long,hidden_bull,2025-08-07 17:20:00,4500,116438.29,2025-08-07 17:25:00,4505,116516.57,bear_div,0.06602601164039866,98.21098481,98.27701082
short,regular_bear,2025-08-07 17:52:00,4532,116380.75,2025-08-07 18:01:00,4541,116482.8,bull_div,-0.08617549684274492,98.27701082,98.19083532
short,regular_bear,2025-08-07 18:44:00,4584,116274.3,2025-08-07 18:47:00,4587,116300.0,bull_div,-0.021703028680660423,98.19083532,98.16913229
short,regular_bear,2025-08-07 19:57:00,4657,117394.01,2025-08-07 20:09:00,4669,117381.45,bull_div,0.010503127898622523,98.16913229,98.17963542
short,regular_bear,2025-08-07 20:27:00,4687,117389.43,2025-08-07 20:45:00,4705,117240.01,tp_rsi,0.12496867157849074,98.17963542,98.30460409
short,hidden_bear,2025-08-07 21:01:00,4721,117243.93,2025-08-07 21:33:00,4753,117230.0,tp_rsi,0.0116797785179413,98.30460409,98.31628387
short,hidden_bear,2025-08-07 21:45:00,4765,117154.77,2025-08-07 22:30:00,4810,117428.14,bull_div,-0.2294121060673965,98.31628387,98.08687176
short,hidden_bear,2025-08-07 22:38:00,4818,117380.47,2025-08-07 23:07:00,4847,117434.75,bull_div,-0.045358102579864314,98.08687176,98.04151366
short,hidden_bear,2025-08-07 23:22:00,4862,117324.85,2025-08-07 23:34:00,4874,117333.0,bull_div,-0.006810478226295873,98.04151366,98.03470318
long,regular_bull,2025-08-07 23:40:00,4880,117320.0,2025-08-07 23:44:00,4884,117394.49,tp_rsi,0.062245184451744914,98.03470318,98.09694836
short,regular_bear,2025-08-07 23:55:00,4895,117456.02,2025-08-07 23:57:00,4897,117467.98,bull_div,-0.00998875581162039,98.09694836,98.0869596
short,regular_bear,2025-08-08 00:00:00,4900,117385.23,2025-08-08 00:06:00,4906,117346.84,tp_rsi,0.03207863867578522,98.0869596,98.11903824
short,hidden_bear,2025-08-08 00:10:00,4910,117370.98,2025-08-08 00:16:00,4916,117294.01,bull_div,0.06434488638786959,98.11903824,98.18338313
long,regular_bull,2025-08-08 00:31:00,4931,117075.85,2025-08-08 00:37:00,4937,117440.31,tp_rsi,0.30564728605907193,98.18338313,98.48903042
short,hidden_bear,2025-08-08 01:11:00,4971,117075.0,2025-08-08 01:21:00,4981,116963.58,bull_div,0.09373177680458021,98.48903042,98.5827622
long,hidden_bull,2025-08-08 01:26:00,4986,116934.0,2025-08-08 01:47:00,5007,116851.99,bear_div,-0.06913962002515507,98.5827622,98.51362258
